Name,Website,"Project Description","Project Manager","Project Status",Resource,"Start Year","End Year","Project Connectivity","Capacity MW","Project Scale","Project Life Cycle",Devices,"Number of Devices",Waterbody,"Site Characteristics",Country
"PRIMRE/Databases/Projects Database/Projects/Igiugig Alaska",https://www.igiugig.com/igiugig-rivgen,,"Ocean Renewable Power Company",Active,Riverine,2014,,"Grid Connected",0.07,"Single Device",Operational,"RivGen Power System",1,"Kvichak River, Alaska",River,"United States"
"PRIMRE/Databases/Projects Database/Projects/InSPIRE- Integrated mWave and Wind Floating Platform",https://bomborawave.com/latest-news/project/inspire-12mw-integrated-mwave-project/,,"Bombora Wave Power",Active,Wave,Planned,,"Grid Connected",18,"Single Device",Planned,"Bombora mWave",1,,,"United Kingdom"
"PRIMRE/Databases/Projects Database/Projects/Islay Community Demonstration",https://www.flexmarinepower.com/,,"Flex Marine Power Ltd",Active,Tidal,Planned,,"Grid Connected",0.05,"Single Device",Planned,"FM-Swimmer Tidal Turbine",1,"Sound of Islay, Scotland, United Kingdom","Constricted Channel","United Kingdom"
"PRIMRE/Databases/Projects Database/Projects/Kaipara Harbour Tidal Project",https://www.option4.co.nz/Your_Rights/kaipara-turbines.htm,,CrestEnergy,Inactive,Tidal,2008,2013,"Grid Connected",200,Array,Completed,"Open Centre Turbine",200,"Kaipara Harbour, New Zealand","Enclosed Bay","New Zealand"
"PRIMRE/Databases/Projects Database/Projects/Kobe Demonstration",https://marineenergy.biz/2017/06/05/japanese-firm-demonstrates-floating-wave-prototype/,,"Wave Energy Technologies Inc",Inactive,Wave,Canceled,2017,"Not Grid Connected",1.2,"Single Device",Completed,"Wave Energy Technology WEC",1,"Osaka Bay, Kobe, Japan","Enclosed Bay",Japan
"PRIMRE/Databases/Projects Database/Projects/Kobold II",https://www.iee.fraunhofer.de/en/research_projects/search/2014/kobold-ii.html,,"Fraunhofer Institute for Energy Economics and Energy System Technology,Ponte di Archimede International SpA PdA",Inactive,"Tidal,Ocean Current",2011,2014,"Grid Connected",0.15,"Single Device",Completed,"Kobold Marine Turbine",1,"Lombok Strait, Indonesia","Constricted Channel",Indonesia
"PRIMRE/Databases/Projects Database/Projects/Kootznahoo Inlet",https://littoralpower.com/installations/,,"Littoral Power Systems Inc,Barrett Energy Resources Group",Active,Tidal,Planned,,"Not Grid Connected",0.3,"Single Device",Planned,,1,"Kootznahoo Inlet, AK, USA","Constricted Channel","United States"
"PRIMRE/Databases/Projects Database/Projects/LHD Tidal Demo",https://www.offshore-energy.biz/chinas-lhd-tidal-demo-generates-800mwh-marks-world-record/,,LHD,Active,Tidal,2016,,"Grid Connected",3.4,Array,Operational,"LHD Tidal Demo",7,"East China Sea, Zhejiang Province",Coastal,China
"PRIMRE/Databases/Projects Database/Projects/Larantuka 10MW project",http://www.sbsintl.com/larantuka-10MW-project.html,,"SBS Intl Ltd",Active,Tidal,Planned,,"Grid Connected",10,Array,Planned,,,"Larantuka Strait, Indonesia","Constricted Channel",Indonesia
"PRIMRE/Databases/Projects Database/Projects/Lashy Sound Phase 1",https://tethys.pnnl.gov/sites/default/files/publications/LashySound-ScopingReport-2014.pdf,,"Orbital Marine Power",Active,Tidal,2016,2019,"Grid Connected",10,Array,Completed,"O2 Turbine,Orbital Marine Power SR2000",5,"Lashy Sound, Orkney; Scotland, Orkney",Coastal,"United Kingdom"
"PRIMRE/Databases/Projects Database/Projects/Lashy Sound Phase 2",https://tethys.pnnl.gov/sites/default/files/publications/LashySound-ScopingReport-2014.pdf,,"Orbital Marine Power",Active,Tidal,2020,,"Grid Connected",20,Array,Planned,"O2 Turbine,Orbital Marine Power SR2000",10,"Lashy Sound, Orkney; Scotland, Orkney",Coastal,"United Kingdom"
"PRIMRE/Databases/Projects Database/Projects/Living Bridge",https://www.newenergycorp.ca/living-bridge-project,,"New Energy Corporation",Active,Tidal,2017,,"Not Grid Connected",0.025,"Single Device",Operational,EnviroGen,1,"Piscataqua River, New Hampshire",River,"United States"
"PRIMRE/Databases/Projects Database/Projects/MS Havkraft H-WEC",https://havkraft.no/projects/,,"Havkraft AS",Inactive,Wave,2014,2015,"Not Grid Connected",0.25,"Single Device",Completed,"Havkraft H-WEC",1,"Stad ocean","Open Ocean",Norway
"PRIMRE/Databases/Projects Database/Projects/Marina di Pisa",https://www.offshore-energy.biz/marina-di-pisa-project-to-make-waves-off-italy/,,"40 South Energy",Active,Wave,2018,,"Grid Connected",0.1,Array,Operational,H24wave,2,"Coast off Tuscany, Italy",Coastal,Italy
"PRIMRE/Databases/Projects Database/Projects/Marmok BiMEP Test",https://www.offshore-energy.biz/bimep-wave-device-composing-for-opera-overhaul/,,"Oceantec Energias Marinas SL",Inactive,Wave,2016,2020,"Grid Connected",0.03,"Single Device",Completed,MARMOK-A-5,1,"Bay of Biscay, Armintza, Spain",,Spain
"PRIMRE/Databases/Projects Database/Projects/MeyGen Pentland Firth Phase 1",https://saerenewables.com/tidal-stream/meygen/,,"SIMEC Atlantis Energy,ANDRITZ Hydro",Active,Tidal,2018,,"Grid Connected",6,Array,Operational,"SAE AR1500,ANDRITZ Hydro HS1500",4,"Pentland Firth, between the island of Stroma and mainland Scotland","Constricted Channel","United Kingdom"
"PRIMRE/Databases/Projects Database/Projects/MeyGen Pentland Firth Phase 2",https://saerenewables.com/tidal-stream/meygen/,,"SIMEC Atlantis Energy",Active,Tidal,Planned,,"Grid Connected",28,Array,Planned,"SAE AR1500",,"Pentland Firth, between the island of Stroma and mainland Scotland","Constricted Channel","United Kingdom"
"PRIMRE/Databases/Projects Database/Projects/MeyGen Pentland Firth Phase 3",https://saerenewables.com/tidal-stream/meygen/,,"SIMEC Atlantis Energy",Active,Tidal,Planned,,"Grid Connected",22,Array,Planned,"SAE AR1500",,"Pentland Firth, between the island of Stroma and mainland Scotland","Constricted Channel","United Kingdom"
"PRIMRE/Databases/Projects Database/Projects/Milla Fjord Wave Dragon Project",http://wavedragon.net/projekter-ii/,,"Wave Dragon ApS",Inactive,Wave,Canceled,,"Not Grid Connected",112,Array,Canceled,"Wave Dragon",,"Atlantic Ocean, 20 km from Pembrokeshire, United Kingdom","Open Ocean","United Kingdom"
"PRIMRE/Databases/Projects Database/Projects/Minesto Holyhead Deep Array",https://minesto.com/projects/holyhead-deep,,"Minesto AB",Active,Tidal,2018,,"Grid Connected",80,Array,Operational,"Deep Green Tidal Kite",60,"Holyhead Bay, Wales, United Kingdom","Enclosed Bay","United Kingdom"
"PRIMRE/Databases/Projects Database/Projects/Minesto Holyhead Deep Pilot",https://minesto.com/projects/holyhead-deep,,"Minesto AB",Inactive,Tidal,2018,2018,"Not Grid Connected",0.5,"Single Device",Completed,"Deep Green Tidal Kite",1,"Irish Sea, United Kingdom",Coastal,"United Kingdom"
"PRIMRE/Databases/Projects Database/Projects/Minesto Strangford Lough",https://minesto.com/our-technology/strangford-lough,,"Minesto AB",Active,Tidal,Planned,,,0.03,"Single Device",Planned,"Deep Green Tidal Kite",1,"Strangford Lough, Irish Sea","Constricted Channel","United Kingdom"
"PRIMRE/Databases/Projects Database/Projects/Minesto Taiwan Tidal Energy",https://minesto.com/projects/taiwan,,"Minesto AB",Active,Tidal,Planned,,"Grid Connected",0.5,"Single Device",Planned,,,"Kuroshio Current",,Taiwan
"PRIMRE/Databases/Projects Database/Projects/Montenegro Demonstration of Sigma Energy WEC",https://www.sigma-energy.si/,,"Sigma Energy",Active,Wave,2022,,"Not Grid Connected",0.03,"Single Device",Operational,"Sigma Energy WEC",1,"Adriatic Sea, Bar, Montenegro",Coastal,Montenegro
"PRIMRE/Databases/Projects Database/Projects/Morlais",https://www.morlaisenergy.com/,,"Menter Mon",Active,Tidal,Planned,,"Grid Connected",240,Array,Planned,"O2 Turbine,Magallanes Renovables ATIR,Nova M100",8,"Irish Sea, Wales, United Kingdom",Coastal,"United Kingdom"
"PRIMRE/Databases/Projects Database/Projects/Mull of Galloway",https://www.annualreports.com/HostedData/AnnualReportArchive/s/LSE_SAE_2019.pdf,,"SIMEC Atlantis Energy",Inactive,Tidal,Canceled,,,30,Array,Canceled,"SAE SeaGen-U",30,"Mull of Galloway","Open Ocean","United Kingdom"
"PRIMRE/Databases/Projects Database/Projects/Muskeget Channel",https://www.mreconewengland.org/newsletters-press/,,"Marine Renewable Energy Collaborative (MRECo)",Inactive,Tidal,Canceled,,"Grid Connected",5,Array,Canceled,,14,"Muskeget Bay, Edgartown, MA","Constricted Channel","United States"
"PRIMRE/Databases/Projects Database/Projects/Mutriku Wave Power Plant",https://www.bimep.com/en/mutriku-area/technical-characteristics/,,"Biscay Marine Energy Platform",Active,Wave,2011,,"Grid Connected",0.296,"Single Device",Operational,Mutriku,,"Bay of Biscay, Mutriku, Spain","Enclosed Bay",Spain
"PRIMRE/Databases/Projects Database/Projects/Nautilus 150MW Project",http://www.sbsintl.com/nautilus-150mw-project.html,,"SBS Intl Ltd",Active,Tidal,Planned,,"Grid Connected",12,Array,Planned,"SAE AR1500",8,"Badung Strait, Indonesia","Constricted Channel",Indonesia
